omegachi,0.2,0.4,0.6,0.8,1,2,3,4,5,6
0.2,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99
0.4,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99
0.6,0.94,0.94,0.95,0.96,0.96,0.97,0.98,0.98,0.99,0.99
0.8,0.91,0.92,0.93,0.94,0.95,0.97,0.97,0.98,0.98,0.99
1,0.88,0.9,0.92,0.93,0.94,0.96,0.97,0.98,0.98,0.98
2,0.74,0.8,0.84,0.86,0.88,0.93,0.95,0.96,0.97,0.97
3,0.61,0.72,0.78,0.82,0.84,0.91,0.94,0.95,0.96,0.97
4,0.51,0.65,0.73,0.78,0.81,0.9,0.93,0.94,0.95,0.96
5,0.44,0.6,0.69,0.75,0.79,0.88,0.92,0.94,0.95,0.96
6,0.39,0.56,0.66,0.73,0.77,0.87,0.91,0.93,0.95,0.95
